1,Kapkir,32.000 so'm,oq,kukmara,oshxona
2,Gaz plita,85.000 so'm,oq,lg,oshxona
3,divan,12.000 som,sariq,mi,hotelRoom
4,Stol,2.000 som,yashil,imzo,oshxona
5,Kapkir,32.000 som,oq,kukmara,oshxona
6,Kapkir,32.000 som,oq,kukmara,oshxona
7,Kapkir,32.000 som,oq,kukmara,oshxona
8,Kapkir,32.000 som,oq,kukmara,oshxona
9,Kapkir,32.000 som,oq,kukmara,oshxona
10,Kapkir,32.000 som,oq,kukmara,oshxona
11,Kapkir,32.000 som,oq,kukmara,oshxona
12,Kapkir,32.000 som,oq,kukmara,oshxona
13,Kapkir,32.000 som,oq,kukmara,oshxona
14,Kapkir,32.000 som,oq,kukmara,oshxona
15,Kapkir,32.000 som,oq,kukmara,oshxona
16,Kapkir,32.000 som,oq,kukmara,oshxona
